id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5114291697484907,P5ZN7vpaj,7748562606,面包雲的颜粉,黄霄云超话#黄霄云1222生日快乐#人鱼公主黄霄雲生日快乐🎉祝你新的一岁发更多好歌、更多爆曲，开更多的演唱会！@黄霄雲@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士",黄霄云1222生日快乐,2,5,11,2024-12-22 08:00,黄霄云超话,"https://wx2.sinaimg.cn/large/008sob6egy1hwswx8vz74j318g1n97wh.jpg,https://wx1.sinaimg.cn/large/008sob6egy1hwswz1qgxuj31uo2gwhdu.jpg",,,,普通用户,非会员,0
5114486928708542,P64S0Axum,6343240758,Ghost_狗头,黄霄云超话#黄霄云生日罗甸直播#☁️#黄霄云1222生日快乐#面包生日直播这首爱错太好听了@黄霄雲@好想吃面包蛋糕芝士LGhost_狗头的微博视频,,,"黄霄雲,好想吃面包蛋糕芝士","黄霄云生日罗甸直播,黄霄云1222生日快乐",0,13,18,2024-12-22 20:56,黄霄云超话,,"http://f.video.weibocdn.com/o0/ZKRBssmmlx08kz4ynk4001041200Q7qg0E010.mp4?label=mp4_720p&template=720x1608.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765443723&ssig=DQecHKa6B9&KID=unistore,video",,,普通用户,非会员,0
5114486856090521,P64RTpyqd,7848499877,和面包一起看日出,黄霄云超话🥖#黄霄雲1222生日快乐#期待了一年的生日直播这么快就结束了好舍不得啊面包以后能多开直播吗面包生日快乐🎂天天开心！@黄霄雲@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士",黄霄雲1222生日快乐,0,1,1,2024-12-22 20:55,黄霄云超话,https://wx4.sinaimg.cn/large/008z9vlHly1hwtzs59c3cj340c5cg4qs.jpg,,,,黄V,非会员,0
5114486769847970,P64RKFjUe,7775763255,奔月的草莓面包,黄霄云超话#黄霄云1222生日快乐##黄霄云首张个人原创专辑#今年结束的好快拜拜阿鬼不要不开心.希望你也能睡个好觉.没有不想想看到你想听你说话怎么会呢？看到你就很开心啦.谢谢你也祝你生日快乐.@黄霄雲@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士","黄霄云1222生日快乐,黄霄云首张个人原创专辑",1,1,5,2024-12-22 20:55,黄霄云超话,"https://wx4.sinaimg.cn/large/008uejengy1hwtzshinurj30u01t017v.jpg,https://wx4.sinaimg.cn/large/008uejengy1hwtzsq7aonj31jk223hdt.jpg,https://wx2.sinaimg.cn/large/008uejengy1hwtzsqtm32j31jk2237wh.jpg,https://wx1.sinaimg.cn/large/008uejengy1hwtzsrk9mvj31jk223b29.jpg,https://wx4.sinaimg.cn/large/008uejengy1hwtzssepjwj31jk223e81.jpg,https://wx2.sinaimg.cn/large/008uejengy1hwtzsto3onj31jk2234qp.jpg",,,,普通用户,非会员,0
5114485750631135,P64Q72EbB,7827282208,律政庄羽锋,黄霄云超话#黄霄云##黄霄云1222生日快乐#面包今天直播太欢乐了，基本全程小品，我全程都在跟笑，哈哈哈@黄霄雲@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士","黄霄云,黄霄云1222生日快乐",0,1,5,2024-12-22 20:51,黄霄云超话,"https://wx3.sinaimg.cn/large/008xItFely1hwtzoihh4jj30v61vuwss.jpg,https://wx1.sinaimg.cn/large/008xItFely1hwtzoj8ekaj30v61vudwk.jpg,https://wx1.sinaimg.cn/large/008xItFely1hwtzojssm8j30v61vuqed.jpg,https://wx2.sinaimg.cn/large/008xItFely1hwtzokhzwkj30v61vuqii.jpg,https://wx4.sinaimg.cn/large/008xItFely1hwtzol2ue9j30v61vu15e.jpg,https://wx4.sinaimg.cn/large/008xItFely1hwtzoloo3sj30v61vudsu.jpg,https://wx3.sinaimg.cn/large/008xItFely1hwtzomayymj30v61vuaoo.jpg,https://wx3.sinaimg.cn/large/008xItFely1hwtzon1v5aj30v61vunbq.jpg,https://wx3.sinaimg.cn/large/008xItFely1hwtzons6mtj30v61vuqj1.jpg",,,,普通用户,非会员,0
5114485705279776,P64Q2m9vG,7009590336,魔星腾翔,#黄霄雲生日罗甸直播##黄霄雲1222生日快乐#面包生日快乐你的歌都好好听呀明年巡演要考虑来我们城市呀,,,,"黄霄雲生日罗甸直播,黄霄雲1222生日快乐",0,0,0,2024-12-22 20:51,HUAWEI Mate 60 Pro,https://wx3.sinaimg.cn/large/007EnwEEly1hwtzojukaij30u0140gwf.jpg,,,,普通用户,非会员,0
5114485434227068,P64PBhJEw,7735738885,Pursuing_Freedom,黄霄云超话#黄霄云1222生日快乐##黄霄云好美#再一次祝面包生日快乐魔星们永远支持你,,,,"黄霄云1222生日快乐,黄霄云好美",0,0,5,2024-12-22 20:50,黄霄云超话,"https://wx3.sinaimg.cn/large/008rwn41ly1hwtzn1ce76j30u01s8wri.jpg,https://wx1.sinaimg.cn/large/008rwn41ly1hwtzn1xr52j30u01s8qhz.jpg,https://wx2.sinaimg.cn/large/008rwn41ly1hwtzn36ajwj30u01s8h0i.jpg",,,,普通用户,非会员,0
5114485417182996,P64Pzu8CM,7819097981,诗雲鹿mmc,黄霄云超话祝面包🍞26岁生日快乐呀谢谢面包的生日祝福！希望面包每天开开心心的魔星会一直陪着你的噢飞黄如星霄洒凌雲！生而自由爱而无限，有趣有盼，不负心中热爱，无事绊心弦，所念皆所愿，星辰大海，为雲而来！相信光！会越来越好的！永远爱面包！#黄霄雲##黄霄雲1222生日快乐##今天飘来一朵云##黄霄云生日罗甸直播#L2Lilies57的微博视频,,,,"黄霄雲 ,黄霄雲1222生日快乐,今天飘来一朵云 ,黄霄云生日罗甸直播",0,0,2,2024-12-22 20:50,黄霄云超话,,"http://f.video.weibocdn.com/o0/uvWLtsoElx08kz48zIOs01041202vupx0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765443723&ssig=9u9CqTfOOY&KID=unistore,video",,,普通用户,非会员,0
5114484775457645,P64OxmTMx,7815805334,0416欣动嘉祺-霄雲,#正能量歌手黄霄云##黄霄云首张原创专辑##黄霄云1222生日快乐#生日九官格生日快乐@黄霄雲黄霄云超话专栏·黄霄雲_直到幸福触手可及💗发贴汇总,,,黄霄雲,"正能量歌手黄霄云,黄霄云首张原创专辑,黄霄云1222生日快乐",1,0,1,2024-12-22 20:47,黄霄云超话,"https://wx1.sinaimg.cn/large/008wWk0mgy1hwtzkl32ibj30k00w1ag0.jpg,https://wx4.sinaimg.cn/large/008wWk0mgy1hwtzkljxyrj30k00x6dlx.jpg,https://wx3.sinaimg.cn/large/008wWk0mgy1hwtzklwv53j30k00wqte7.jpg,https://wx4.sinaimg.cn/large/008wWk0mgy1hwtzkm7oxgj30k00v143w.jpg,https://wx3.sinaimg.cn/large/008wWk0mgy1hwtzkmijfbj30k00m4dgn.jpg,https://wx4.sinaimg.cn/large/008wWk0mgy1hwtzkmtk4zj30k00u4tdw.jpg,https://wx3.sinaimg.cn/large/008wWk0mgy1hwtzkn8w7dj30k00v47a0.jpg,https://wx3.sinaimg.cn/large/008wWk0mgy1hwtzknsh7gj30k00xlafk.jpg,https://wx4.sinaimg.cn/large/008wWk0mgy1hwtzko66baj30k00usgse.jpg",,,,普通用户,非会员,0
5114472448660548,P64uEAl0g,7294776239,魔星二橘,黄霄云超话#黄霄云1222生日快乐#生日直播比心五连拍～@黄霄雲@好想吃面包蛋糕芝士,,,"黄霄雲,好想吃面包蛋糕芝士",黄霄云1222生日快乐,0,1,9,2024-12-22 19:58,黄霄云超话,"https://wx1.sinaimg.cn/large/007XG8xhly1hwty4owknsj30tz1hcdpy.jpg,https://wx3.sinaimg.cn/large/007XG8xhly1hwty4ol1n1j30u01hetiw.jpg,https://wx1.sinaimg.cn/large/007XG8xhly1hwty4o6s5pj30tz1hcak9.jpg,https://wx2.sinaimg.cn/large/007XG8xhly1hwty4pkfyxj30tz1hc7e9.jpg,https://wx4.sinaimg.cn/large/007XG8xhly1hwty4p9sj4j30tz1hcgvn.jpg,https://wx1.sinaimg.cn/large/007XG8xhly1hwty4qfgdcj30u0140wk4.jpg,https://wx2.sinaimg.cn/large/007XG8xhly1hwty4r737dj30u014079r.jpg,https://wx4.sinaimg.cn/large/007XG8xhly1hwty4sz6e3j30u0140q7h.jpg,https://wx1.sinaimg.cn/large/007XG8xhly1hwty4s69bvj30u0140jwx.jpg",,,,普通用户,非会员,0
5114468581246952,P64oq5eo8,7404654520,魔星番茄,黄霄云超话#黄霄雲1222生日快乐#起床铃来啦魔星们L魔星番茄的微博视频,,,,黄霄雲1222生日快乐,0,3,16,2024-12-22 19:43,黄霄云超话,,"http://f.video.weibocdn.com/o0/RKdRVxDtlx08kyZxYpfy01041200atEQ0E010.mp4?label=mp4_720p&template=720x1600.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765443733&ssig=5NIjcAtXvz&KID=unistore,video",,,黄V,会员,5
5114466322612455,P64kMaXCn,7738018936,陈宇泽yzzz,生日快乐！#黄霄云1222生日快乐#,,,,黄霄云1222生日快乐,0,0,0,2024-12-22 19:34,微博网页版,,,,,普通用户,非会员,0
5114463269688070,P64fQEEjc,2552724282,好想吃霄雲蛋糕芝士,黄霄云超话#黄霄云1222生日快乐#黄霄雲你可是我的挚爱亲朋8K哥你是我的眼生日快乐黄干吃不胖女士@黄霄雲@好想吃面包蛋糕芝士雲日奖励自己一天假期。学习，学个屁,,,"黄霄雲,好想吃面包蛋糕芝士",黄霄云1222生日快乐,0,1,0,2024-12-22 19:22,黄霄云超话,"https://wx2.sinaimg.cn/large/98277b3agy1hwtx3smpfuj22s03pcnpd.jpg,https://wx1.sinaimg.cn/large/98277b3agy1hwtumtie1wj20v91vox6a.jpg,https://wx3.sinaimg.cn/large/98277b3agy1hwtumv5qzdj20v91vonlx.jpg,https://wx3.sinaimg.cn/large/98277b3agy1hwtumwqws0j20v91vo1kx.jpg",,,,普通用户,非会员,0
5114461746104058,P64dopBWy,7710480508,Dreamers夢想家910110,黄霄云超话#黄霄云##黄霄云1222生日快乐#祝黃霄雲生日快樂，妳唱歌超好聽的又漂亮好喜歡妳，會繼續關注和支持妳期待妳未來的作品和更新@黄霄雲,,,黄霄雲,"黄霄云,黄霄云1222生日快乐",0,0,2,2024-12-22 19:16,黄霄云超话,"https://wx2.sinaimg.cn/large/008pOocQgy1hwtwxcaja3j30u01n6gng.jpg,https://wx4.sinaimg.cn/large/008pOocQgy1hwtwxdhzszj30u01n6tce.jpg,https://wx4.sinaimg.cn/large/008pOocQgy1hwtwxeae4rj30u01n6jso.jpg,https://wx3.sinaimg.cn/large/008pOocQgy1hwtwxesv0fj30u01n6mzr.jpg,https://wx4.sinaimg.cn/large/008pOocQgy1hwtwxfaxp1j30u01n6wgn.jpg,https://wx2.sinaimg.cn/large/008pOocQgy1hwtwxg3t3dj30u01n6tdv.jpg,https://wx1.sinaimg.cn/large/008pOocQgy1hwtwxh44paj30u01n6aaz.jpg,https://wx1.sinaimg.cn/large/008pOocQgy1hwtwxhulkkj30u01n6n1v.jpg",,,,普通用户,会员,7
5114457749979414,P646WFS6i,7366878988,hxy_盲选,黄霄云超话生日快乐#黄霄云1222生日快乐#🍞每天都要快乐开心～不仅仅是在生日,,,,黄霄云1222生日快乐,0,1,0,2024-12-22 19:00,黄霄云超话,,,,,普通用户,会员,5
